timestamp,model,task,q,k,v,gate,up,method_name,cpr
2026-05-07 11:58:18,gemma2,ioi,1.0,0.05,1.0,1.0,1.0,eap_frnorm_q1.0_k0.05_v1.0_g1.0_u1.0,2.2366
2026-05-07 12:05:40,gemma2,ioi,1.0,1.0,0.05,1.0,1.0,eap_frnorm_q1.0_k1.0_v0.05_g1.0_u1.0,0.9386
2026-05-07 12:13:05,gemma2,ioi,1.0,1.0,1.0,0.05,1.0,eap_frnorm_q1.0_k1.0_v1.0_g0.05_u1.0,2.5166
2026-05-07 12:20:44,gemma2,ioi,1.0,1.0,1.0,1.0,0.05,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u0.05,2.2079
2026-05-07 12:28:14,gemma2,ioi,0.1,1.0,1.0,1.0,1.0,eap_frnorm_q0.1_k1.0_v1.0_g1.0_u1.0,2.0680
2026-05-07 12:35:27,gemma2,ioi,1.0,0.1,1.0,1.0,1.0,eap_frnorm_q1.0_k0.1_v1.0_g1.0_u1.0,2.1492
2026-05-07 12:42:48,gemma2,ioi,1.0,1.0,0.1,1.0,1.0,eap_frnorm_q1.0_k1.0_v0.1_g1.0_u1.0,0.9795
2026-05-07 12:50:13,gemma2,ioi,1.0,1.0,1.0,0.1,1.0,eap_frnorm_q1.0_k1.0_v1.0_g0.1_u1.0,2.5575
2026-05-07 12:57:53,gemma2,ioi,1.0,1.0,1.0,1.0,0.1,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u0.1,2.2193
2026-05-07 13:05:24,gemma2,ioi,0.2,1.0,1.0,1.0,1.0,eap_frnorm_q0.2_k1.0_v1.0_g1.0_u1.0,1.9961
2026-05-07 13:12:42,gemma2,ioi,1.0,0.2,1.0,1.0,1.0,eap_frnorm_q1.0_k0.2_v1.0_g1.0_u1.0,2.1045
2026-05-07 13:20:05,gemma2,ioi,1.0,1.0,0.2,1.0,1.0,eap_frnorm_q1.0_k1.0_v0.2_g1.0_u1.0,1.0194
2026-05-07 13:27:33,gemma2,ioi,1.0,1.0,1.0,0.2,1.0,eap_frnorm_q1.0_k1.0_v1.0_g0.2_u1.0,2.5374
2026-05-07 13:35:12,gemma2,ioi,1.0,1.0,1.0,1.0,0.2,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u0.2,2.2537
2026-05-07 13:42:35,gemma2,ioi,0.5,1.0,1.0,1.0,1.0,eap_frnorm_q0.5_k1.0_v1.0_g1.0_u1.0,1.9683
2026-05-07 13:49:53,gemma2,ioi,1.0,0.5,1.0,1.0,1.0,eap_frnorm_q1.0_k0.5_v1.0_g1.0_u1.0,2.0382
2026-05-07 13:57:16,gemma2,ioi,1.0,1.0,0.5,1.0,1.0,eap_frnorm_q1.0_k1.0_v0.5_g1.0_u1.0,1.3209
2026-05-07 14:04:39,gemma2,ioi,1.0,1.0,1.0,0.5,1.0,eap_frnorm_q1.0_k1.0_v1.0_g0.5_u1.0,2.4777
2026-05-07 14:12:22,gemma2,ioi,1.0,1.0,1.0,1.0,0.5,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u0.5,2.0787
2026-05-07 14:19:48,gemma2,ioi,1.0,1.0,1.0,1.0,1.0,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u1.0,1.8792
2026-05-07 14:27:13,gemma2,ioi,1.5,1.0,1.0,1.0,1.0,eap_frnorm_q1.5_k1.0_v1.0_g1.0_u1.0,1.6453
2026-05-07 14:34:41,gemma2,ioi,1.0,1.5,1.0,1.0,1.0,eap_frnorm_q1.0_k1.5_v1.0_g1.0_u1.0,1.6215
2026-05-07 14:42:14,gemma2,ioi,1.0,1.0,1.5,1.0,1.0,eap_frnorm_q1.0_k1.0_v1.5_g1.0_u1.0,2.1988
2026-05-07 14:49:41,gemma2,ioi,1.0,1.0,1.0,1.5,1.0,eap_frnorm_q1.0_k1.0_v1.0_g1.5_u1.0,1.4612
2026-05-07 14:57:02,gemma2,ioi,1.0,1.0,1.0,1.0,1.5,eap_frnorm_q1.0_k1.0_v1.0_g1.0_u1.5,1.9706
